date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:30	444/444	---M--	200	added ('OK')	application/octet-stream	etag:%2263243dae-1bc%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/site.webmanifest	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/site.webmanifest	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:30	1407/1407	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263243dae-57f%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/safari-pinned-tab.svg	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/safari-pinned-tab.svg	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:30	3346/3346	---M--	200	added ('OK')	image/jpeg	etag:%226320aef3-1594%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/images/og-image.jpg	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/images/og-image.jpg	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:30	4064/4064	---M-Z	200	added ('OK')	text/css	etag:W/%2262e93db4-fe0%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/css/cookieconsent.min.css	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/css/cookieconsent.min.css	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:31	20723/20723	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262e93ef4-50f3%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/js/cookieconsent.min.js	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/js/cookieconsent.min.js	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:31	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Sep%202022%2016:50:30%20GMT	http://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	C:/My%20Web%20Sites/phonehouse/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.11.delayed	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:31	19295/19295	---M-Z	200	added ('OK')	application/x-javascript	etag:%225add60196e5f96a414fb4b9586764e5d%22	https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	C:/My%20Web%20Sites/phonehouse/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:32	38827/38827	---M-Z	200	added ('OK')	application/javascript	etag:%2280a8697a8a2d81:0%22	http://bat.bing.com/bat.js	C:/My%20Web%20Sites/phonehouse/bat.bing.com/bat.js	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:32	266/266	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:32%20GMT	https://www.googletagmanager.com/ns.html?id=GTM-NFCV962	C:/My%20Web%20Sites/phonehouse/www.googletagmanager.com/ns1493.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:33	5749/5749	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22100e776599ad3bf78fdbef228a49d9f3%22	http://127.0.0.1/TheBigphone/cdn.TheBigPhone.co.uk/images/header/TheBigPhone-logo.svg	C:/My%20Web%20Sites/phonehouse/cdn.TheBigPhone.co.uk/images/header/TheBigPhone-logo.svg	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
